city,AQI,PM2.5,PM10,CO,NO2,SO2,O3,lng,lat,timestamp,空气质量,省份,所属省份空气质量排名
遂宁,73,53,72,0.9,34,7,6,105.5648878,30.55749135,2023-02-28,良好,四川省,13
台州,32,19,32,0.6,14,5,86,121.4406129,28.66828329,2023-02-28,优级,浙江省,4
泰安,89,66,102,2.5,54,24,61,117.0894149,36.18807776,2023-02-28,良好,山东省,21
泰州,124,94,119,1.1,25,13,89,119.919606,32.47605327,2023-02-28,轻度污染,新疆维吾尔自治区,8
唐山,78,57,90,1.0,37,14,43,118.1834506,39.65053092,2023-02-28,良好,河北省,25
天津,82,60,100,0.6,24,10,83,117.2108131,39.1439299,2023-02-28,良好,天津市,20
天水,123,93,114,0.6,12,6,71,105.7369316,34.58431942,2023-02-28,轻度污染,甘肃省,16
铁岭,225,58,367,0.8,29,10,92,123.8548496,42.29975701,2023-02-28,重度污染,辽宁省,27
通化,106,75,161,0.7,22,22,95,125.9426501,41.73639713,2023-02-28,轻度污染,吉林省,23
通辽,129,98,182,1.2,36,7,48,122.2603633,43.63375607,2023-02-28,轻度污染,内蒙古自治区,26
铜川,97,72,82,0.8,11,9,65,108.968067,34.9083677,2023-02-28,良好,陕西省,22
铜陵,34,22,34,0.3,18,6,67,117.8194287,30.94092969,2023-02-28,优级,安徽省,10
瓦房店,93,69,127,1.0,28,17,92,121.7906988,39.7089564,2023-02-28,良好,辽宁省,27
渭南,134,102,108,0.7,28,13,93,109.4839327,34.50235798,2023-02-28,轻度污染,陕西省,22
温州,40,28,32,0.4,18,8,92,120.6906347,28.00283759,2023-02-28,优级,浙江省,4
乌海,147,112,157,1.0,25,14,96,106.8319991,39.68317701,2023-02-28,轻度污染,内蒙古自治区,26
乌鲁木齐,39,27,39,0.7,31,4,39,87.56498774,43.84038035,2023-02-28,优级,新疆维吾尔自治区,8
无锡,75,55,97,0.9,26,13,84,120.3054559,31.57003745,2023-02-28,良好,江苏省,11
梧州,70,51,74,0.6,28,26,57,111.305472,23.48539464,2023-02-28,良好,广西壮族自治区,14
吴忠,182,21,313,0.3,8,3,76,106.2082542,37.993561,2023-02-28,中度污染,宁夏回族自治区,24
武汉,128,97,122,0.8,49,5,32,114.3162001,30.58108413,2023-02-28,轻度污染,湖北省,15
武威,52,36,52,1.1,20,10,72,102.6401473,37.93317214,2023-02-28,良好,甘肃省,16
五家渠,27,11,0,0.4,4,3,86,87.56544898,44.36889948,2023-02-28,优级,新疆维吾尔自治区,8
西安,153,117,0,1.2,38,7,46,125.1501486,42.98636495,2023-02-28,中度污染,陕西省,22
厦门,41,6,41,0.6,5,8,91,118.103886,24.48923061,2023-02-28,优级,福建省,2
咸宁,77,56,50,0.6,33,10,29,114.3000606,29.88065676,2023-02-28,良好,湖北省,15
咸阳,139,106,0,0.9,17,5,69,108.7075093,34.345373,2023-02-28,轻度污染,陕西省,22
